,Event ID,Run ID,Dec,RA,Signalness,MJD,Stream,Cut,Dec err,RA err
0,17334444,118178,-1.94,138.47,0.508,55695.06415108922,GFU,GOLD,2.09,10.459999999999999
1,46569873,118309,35.64,272.55,0.75,55722.42607809128,GFU,GOLD,2.35,4.09
2,24578488,118342,5.38,71.15,0.257,55728.72979097178,GFU,BRONZE,1.69,3.4799999999999995
3,58198553,118435,40.67,68.2,0.778,55756.11298443852,HESE,GOLD,0.88,1.4100000000000001
4,52691508,118475,6.99,151.08,0.396,55768.51080159916,GFU,BRONZE,1.81,2.9
5,54350726,118539,1.53,336.8,0.266,55780.97970434913,GFU,BRONZE,1.71,3.34
6,45696357,118576,-2.09,332.45,0.34,55791.68864321097,GFU,BRONZE,1.83,2.2
7,36844560,118631,7.59,9.76,0.609,55806.09220290563,GFU,GOLD,1.73,4.18
8,61529737,118660,9.4,196.08,0.506,55811.79461555,GFU,GOLD,2.6100000000000003,6.59
9,995844,118738,50.04,121.45,0.521,55833.26046548522,GFU,BRONZE,0.39,2.63
10,43101116,118741,-4.44,267.01,0.429,55834.44513646853,GFU,BRONZE,1.3900000000000001,2.33
11,61465314,118778,44.7,172.13,0.434,55846.86687056347,GFU,BRONZE,1.24,2.79
12,22324184,118973,9.82,26.06,0.42,55885.96104031756,GFU,BRONZE,2.76,5.05
13,25391094,118973,-11.99,356.84,0.292,55885.97335470221,GFU,BRONZE,0.5,1.15
14,49522606,119097,38.49,165.19,0.446,55903.71892797326,GFU,BRONZE,7.16,11.16
15,32538906,119101,20.42,99.98,0.335,55904.45690159585,GFU,BRONZE,3.62,3.21
16,14422170,119125,0.56,247.85,0.408,55908.39772381761,GFU,BRONZE,2.88,3.29
17,66932419,119136,18.88,36.74,0.946,55911.27685053114,GFU,GOLD,5.279999999999999,4.04
18,28561103,119146,7.03,26.85,0.397,55913.33542794057,GFU,BRONZE,9.24,8.35
19,41603205,119739,18.76,237.96,0.825,55987.80691328732,GFU,GOLD,0.98,1.15
20,12133428,120027,0.52,183.56,0.274,56043.41532671855,GFU,BRONZE,1.5699999999999998,4.17
21,22615214,120045,-71.51,165.37,0.464,56048.5704208966,HESE,GOLD,6.21,12.370000000000001
22,59255331,120157,32.0,198.94,0.613,56062.95901934374,GFU,GOLD,2.06,3.12
23,63879322,120185,26.44,171.08,0.525,56070.5742824046,EHE,GOLD,0.8300000000000001,2.07
24,1306178,120186,15.48,343.78,0.49,56070.63865189075,GFU,BRONZE,3.92,9.4
25,73761892,120205,22.87,176.48,0.416,56076.54294700876,GFU,BRONZE,4.470000000000001,12.57
26,21476686,120244,14.79,119.31,0.395,56079.30557152734,GFU,BRONZE,1.35,2.94
27,65493286,120260,36.38,152.58,0.385,56083.65455898678,GFU,BRONZE,3.01,4.31
28,20451977,120309,-15.09,39.95,0.244,56089.36416964872,GFU,BRONZE,0.5,0.52
29,24248640,120535,1.42,330.07,0.744,56146.20714663897,GFU,GOLD,1.05,1.66
30,12284754,120680,3.88,182.24,0.438,56186.30530486623,GFU,GOLD,1.49,3.0700000000000003
31,53550535,120708,19.79,70.62,0.426,56192.54933227013,EHE,GOLD,1.62,2.76
32,20915945,120798,-2.28,205.14,0.842,56211.77094169458,GFU,GOLD,1.08,1.3599999999999999
33,64513030,120860,27.91,169.8,0.926,56226.59949621974,GFU,GOLD,1.73,2.73
34,64276946,120884,6.05,123.18,0.276,56234.5075207242,GFU,BRONZE,1.2000000000000002,1.8900000000000001
35,29325450,120935,8.88,225.7,0.319,56246.33035012512,GFU,BRONZE,1.89,2.2
36,41853263,121761,74.14,7.67,0.531,56317.26571230239,GFU,BRONZE,6.18,12.379999999999999
37,56963417,121762,-1.9,280.46,0.31,56317.65900654516,GFU,BRONZE,1.75,4.22
38,40349510,121769,-1.98,352.97,0.61,56319.27998864782,GFU,GOLD,1.87,2.33
39,62872761,121840,-13.32,48.38,0.317,56331.12141217788,GFU,BRONZE,0.46,0.62
40,5809789,122055,54.68,303.41,0.377,56367.7359925578,GFU,BRONZE,3.3600000000000003,6.529999999999999
41,56194427,122060,20.62,13.45,0.327,56369.28453777279,GFU,BRONZE,2.4299999999999997,1.67
