,Unnamed: 0,Event ID,Run ID,Dec,RA,Signalness,MJD,Stream,Cut,Dec err,RA err,TS_1.0e+03,ns_1.0e+03,p_1.0e+03,TS_1.7e+05,ns_1.7e+05,p_1.7e+05,TS_steady,ns_steady,p_steady,ra_steady,dec_steady,gamma_steady
0,0,17334444,118178,-1.94,138.47,0.508,55695.06415108922,GFU,GOLD,2.09,10.46,0.0,0.0,1.0,3.070524697412229,1.029101015575109,0.1528,2.371163411335708,3.573864137894306,0.81425,2.4370178844687924,-0.03389857832532553,2.1415820096625144
1,1,46569873,118309,35.64,272.55,0.75,55722.42607809128,GFU,GOLD,2.35,4.09,0.0,0.0,1.0,0.0,0.7555091233381355,1.0,1.0637955518028392,5.85912474361316,0.61175,4.758218866132764,0.6369602931984998,2.292491457587138
2,2,24578488,118342,5.38,71.15,0.257,55728.72979097178,GFU,BRONZE,1.69,3.4799999999999995,11.173987942858517,0.9991348097382751,0.0006,3.894432012960654,1.7908529075936834,0.0384,0.8337560699134983,25.372481020388822,0.668,1.2462034794859118,0.08456408752532908,3.649999090721344
3,3,58198553,118435,40.67,68.2,0.778,55756.11298443852,HESE,GOLD,0.88,1.41,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
4,4,52691508,118475,6.99,151.08,0.396,55768.51080159916,GFU,BRONZE,1.81,2.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
5,5,54350726,118539,1.53,336.8,0.266,55780.97970434913,GFU,BRONZE,1.71,3.34,0.0,0.0,1.0,5.1823382624529195,1.3865868000376274,0.028,1.3354601025234416,20.496091867822948,0.60025,5.882701678181226,0.03349541164479764,3.0382407189083733
6,6,45696357,118576,-2.09,332.45,0.34,55791.68864321097,GFU,BRONZE,1.83,2.2,0.0,0.0,1.0,0.0,0.0,1.0,0.2344351594495997,8.574321132032201,0.67525,5.804583296155993,-0.036466417946054396,2.7632901636494447
7,7,36844560,118631,7.59,9.76,0.609,55806.09220290563,GFU,GOLD,1.73,4.18,0.0,0.0,1.0,0.0,1.2020516588745793,1.0,4.564073645157702,2.24113860167861,0.1545,0.16358956327297752,0.13211809858234386,1.7979401124653283
8,8,61529737,118660,9.4,196.08,0.506,55811.79461555,GFU,GOLD,2.6100000000000003,6.59,0.0,0.0,1.0,0.0,0.0,1.0,3.131861877163411,31.25576361599869,0.474,3.41327954707324,0.16657268591832347,4.0750918092091
9,9,995844,118738,50.04,121.45,0.521,55833.26046548522,GFU,BRONZE,0.39,2.63,5.5298876603686145,0.9768246696543937,0.0033,4.349075334031284,1.63982898141218,0.0136,5.928433185294555,40.80892747134468,0.03925,2.108852596575747,0.8757101177573194,3.8200686846920076
10,10,43101116,118741,-4.44,267.01,0.429,55834.44513646853,GFU,BRONZE,1.39,2.33,0.0,0.0,1.0,0.06112307376534415,0.22687431476334372,0.2152,5.317079613793997,46.72601627291343,0.063,4.65220395995159,-0.08846193110564401,3.497581818477573
11,11,61465314,118778,44.7,172.13,0.434,55846.86687056347,GFU,BRONZE,1.24,2.79,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
12,12,22324184,118973,9.82,26.06,0.42,55885.96104031756,GFU,BRONZE,2.76,5.05,0.0,0.0,1.0,0.0,0.0,1.0,4.17042881379436,4.383794499758884,0.24725,0.4620633690665492,0.1621159885853615,1.8500004998607456
13,13,25391094,118973,-11.99,356.84,0.292,55885.97335470221,GFU,BRONZE,0.5,1.15,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
